district,date,centx,centy,ipc,area,pop,closest_district,date_future,conflict_count,fatalities,fatalities_per_pop,fatalities_per_area,fatalities_per_poparea,conflicts_per_pop,conflicts_per_area,conflicts_per_poparea
Bor,2012-07-01,32.00486,6.465644,2.0,14008.33,277671.0,Bor,2012-07-01,2,11.0,3.961522809367921e-05,0.0007852470637113774,0.5549431881615293,7.202768744305311e-06,0.00014277219340206863,0.10089876148391443
Bor,2012-10-01,32.00486,6.465644,2.0,14008.33,277671.0,Bor,2012-10-01,1,0.0,0.0,0.0,0.0,3.6013843721526557e-06,7.138609670103432e-05,0.05044938074195721
Bor,2013-04-01,32.00486,6.465644,2.0,14008.33,283876.0,Bor,2013-04-01,2,3.0,1.0567994476461553e-05,0.00021415829010310294,0.14803995406445067,7.045329650974369e-06,0.00014277219340206863,0.09869330270963378
Bor,2013-07-01,32.00486,6.465644,2.0,14008.33,283876.0,Bor,2013-07-01,3,1.67,5.882850258563598e-06,0.0001192147814907273,0.0824089077625442,1.0567994476461553e-05,0.00021415829010310294,0.14803995406445067
Bor,2013-10-01,32.00486,6.465644,1.0,14008.33,283876.0,Bor,2013-10-01,3,5.67,1.9973509560512336e-05,0.00040475916829486457,0.2797955131818118,1.0567994476461553e-05,0.00021415829010310294,0.14803995406445067
Bor,2015-10-01,32.00486,6.465644,2.0,14008.33,296284.0,Bor,2015-10-01,1,0.0,0.0,0.0,0.0,3.375140068312835e-06,7.138609670103432e-05,0.04728007587314874
Bor,2016-02-01,32.00486,6.465644,2.0,14008.33,262823.0,Bor,2016-02-01,2,1.0,3.804842041982627e-06,7.138609670103432e-05,0.0532994829219665,7.609684083965254e-06,0.00014277219340206863,0.106598965843933
Bor,2016-10-01,32.00486,6.465644,3.0,14008.33,262823.0,Bor,2016-10-01,2,0.0,0.0,0.0,0.0,7.609684083965254e-06,0.00014277219340206863,0.106598965843933
Bor,2017-10-01,32.00486,6.465644,2.0,14008.33,229361.0,Bor,2017-10-01,6,2.33,1.0158658185131736e-05,0.00016632960531340996,0.14230583621452644,2.615963481149803e-05,0.00042831658020620587,0.36645279711895223
Bor,2018-06-01,32.00486,6.465644,3.0,14008.33,195899.0,Bor,2018-06-01,1,3.0,1.5314013854077868e-05,0.00021415829010310294,0.2145237596924946,5.104671284692622e-06,7.138609670103432e-05,0.07150791989749819
